Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
Trafo Version1;3;2;[0, 2];m_default;5;31;31;-1.0;[ 1.33647010e-12  1.00000000e+00 -3.07153744e-12]
Trafo Version1;3;2;[1, 2];m_default;5;40;42;-1.0;[-4.65071157e-11  1.00000000e+00  5.96408605e-12]
Trafo Version1;3;3;[0, 1, 2];m_default;4;32;33;-1.0;[-5.50577466e-10  1.00000000e+00 -2.03788289e-09]
;;;;;;;;;
Trafo Version4;3;0;[];m_default;7;48;53;-1.0;[ 2.22511719e-10  1.00000000e+00 -3.19914164e-10]
Trafo Version4;3;1;[0];m_default;7;67;83;-1.0;[-6.25963743e-10  1.00000000e+00  2.02385949e-09]
Trafo Version4;3;1;[1];m_default;7;43;49;-1.0;[-5.58884018e-10  1.00000000e+00  2.18323078e-10]
Trafo Version4;3;1;[2];m_default;7;58;69;-1.0;[3.87238814e-09 1.00000000e+00 3.84518214e-09]
Trafo Version4;3;2;[0, 1];m_default;7;48;54;-1.0;[2.63327196e-09 9.99999996e-01 2.08952762e-09]
Trafo Version4;3;2;[0, 2];m_default;7;39;48;-1.0;[1.56654799e-09 9.99999999e-01 4.65007524e-09]
Trafo Version4;3;2;[1, 2];m_default;7;50;54;-1.0;[-2.86843435e-10  9.99999996e-01 -1.45831278e-09]
Trafo Version4;3;3;[0, 1, 2];m_default;7;47;52;-1.0;[3.27093038e-09 9.99999994e-01 5.36689725e-10]
;;;;;;;;;
SQP (mixed);3;0;[];;;2;9;-1.0;[0. 1. 0.]
SQP (mixed);3;1;[0];;;2;7;-1.0;[0. 1. 0.]
SQP (mixed);3;1;[1];;;2;7;-1.0;[0. 1. 0.]
SQP (mixed);3;1;[2];;;2;7;-1.0;[0. 1. 0.]
SQP (mixed);3;2;[0, 1];;;2;5;-1.0;[0. 1. 0.]
SQP (mixed);3;2;[0, 2];;;2;5;-1.0;[0. 1. 0.]
SQP (mixed);3;2;[1, 2];;;2;5;-1.0;[0. 1. 0.]
SQP (mixed);3;3;[0, 1, 2];;;2;3;-1.0;[0. 1. 0.]
;;;;;;;;;
;;;;;;;;;
=====;=====;=====;=====;=====;=====;=====;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
ZZ08_Test;[1. 1. 1.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
BOBYQA;3;0;[];2n+1;7;26;27;7,76E-32;[-3.96088441e-24 -1.99392798e-24  7.61072452e-24]
FullyDetQuadInterpol;3;0;[];0.5(n+1)(n+2);10;26;30;8,32E-26;[2.35748658e-20 5.79964868e-21 1.55686036e-20]
FullyDetLinearInterpol;3;0;[];n+1;4;60;73;2,81E-01;[-1.60720709e-09 -4.82683644e-09 -1.48621041e-09]
;;;;;;;;;
Trafo Version1;3;0;[];m_default;10;26;30;2,72E-18;[1.08112703e-17 1.15416535e-17 4.63625314e-18]
Trafo Version1;3;1;[0];m_default;6;41;49;4,03E-17;[-2.26978278e-24  4.88462638e-17  4.05544888e-17]
Trafo Version1;3;1;[1];m_default;6;40;45;7,30E-21;[ 2.07668601e-18 -1.65967499e-24  1.72746056e-18]
Trafo Version1;3;1;[2];m_default;6;39;45;6,52E-20;[-1.93154592e-18 -7.83841131e-18 -3.79639311e-30]
