Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
HD01_sum2_10d;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
;;;;;;;;;
HD04_dixon_10d;[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
BOBYQA;10;0;[];2n+1;21;687;915;1,17E-01;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
FullyDetQuadInterpol;10;0;[];0.5(n+1)(n+2);66;529;838;2,41E-03;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
FullyDetLinearInterpol;10;0;[];n+1;11;3959;fail;0.500669006806316;"[0.97728515 0.94353376 0.88422296 0.77851144 0.60431466 0.36415464
 0.13250227 0.01929403 0.05259617 0.50140188]"
;;;;;;;;;
Trafo Version1;10;5;[2, 3, 5, 6, 9];m_default;16;739;1064;1,73E-01;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Trafo Version1;10;5;[1, 4, 5, 7, 9];m_default;16;492;715;1,62E+00;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Trafo Version1;10;5;[1, 2, 4, 6, 7];m_default;16;504;739;6,91E-02;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Trafo Version1;10;7;[0, 1, 3, 4, 6, 8, 9];m_default;14;178;248;6,92E-07;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Trafo Version1;10;7;[0, 2, 4, 5, 6, 8, 9];m_default;14;155;210;2,60E-04;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Trafo Version1;10;7;[0, 1, 2, 6, 7, 8, 9];m_default;14;166;230;3,34E-08;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Trafo Version1;10;10;[0, 1, 2, 3, 4, 5, 6, 7, 8, 9];m_default;11;149;194;1,33E-09;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
;;;;;;;;;
Trafo Version4;10;5;[2, 3, 5, 6, 9];m_default;21;3521;fail;0.49994934528557033;"[0.98215072 0.95614559 0.90962526 0.82629264 0.68262643 0.46587105
 0.21887282 0.05709418 0.09157633 0.50425238]"
Trafo Version4;10;5;[1, 4, 5, 7, 9];m_default;21;3521;fail;0.4949817456759546;"[0.99263099 0.97007218 0.93328234 0.8648271  0.75682302 0.58385811
 0.35490234 0.15638947 0.15585744 0.51096965]"
Trafo Version4;10;5;[1, 2, 4, 6, 7];m_default;21;3511;fail;0.49951208932541913;"[0.98282655 0.95868745 0.91476378 0.83416214 0.70131287 0.49690804
 0.25070742 0.07664814 0.10347368 0.50645539]"
Trafo Version4;10;7;[0, 1, 3, 4, 6, 8, 9];m_default;21;999;1453;1,23E+01;"[1.00000001 1.00000001 1.00000001 1.00000001 1.00000001 1.00000001
 1.00000001 1.00000001 1.         0.99999999]"
Trafo Version4;10;7;[0, 2, 4, 5, 6, 8, 9];m_default;21;1355;1957;2,82E-01;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Trafo Version4;10;7;[0, 1, 2, 6, 7, 8, 9];m_default;21;1155;1673;1,47E+00;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Trafo Version4;10;10;[0, 1, 2, 3, 4, 5, 6, 7, 8, 9];m_default;21;583;659;2,74E-01;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
;;;;;;;;;
SQP (only FD);10;0;[];;;53;607;2,15E+09;"[1.00001101 0.99999506 0.99998615 0.99991283 0.99996909 0.99997894
 0.99997015 1.00009869 1.00008701 1.00034776]"
SQP (mixed);10;5;[2, 3, 5, 6, 9];;;53;342;2,18E+09;"[1.00001423 0.99999436 0.99998934 0.99991272 0.99996266 0.99996779
 0.9999736  1.00009081 1.00007507 1.00034651]"
SQP (mixed);10;5;[1, 4, 5, 7, 9];;;53;342;2,18E+09;"[1.00001423 0.99999436 0.99998934 0.99991272 0.99996266 0.99996779
 0.9999736  1.00009081 1.00007507 1.00034651]"
SQP (mixed);10;5;[1, 2, 4, 6, 7];;;53;342;2,18E+08;"[1.00001423 0.99999436 0.99998934 0.99991272 0.99996266 0.99996779
 0.9999736  1.00009082 1.00007507 1.00034651]"
SQP (mixed);10;7;[0, 1, 3, 4, 6, 8, 9];;;53;236;2,18E+09;"[1.00001423 0.99999436 0.99998934 0.99991272 0.99996266 0.99996779
 0.9999736  1.00009081 1.00007507 1.00034651]"
SQP (mixed);10;7;[0, 2, 4, 5, 6, 8, 9];;;53;236;2,18E+09;"[1.00001423 0.99999436 0.99998934 0.99991272 0.99996266 0.99996779
 0.9999736  1.00009081 1.00007507 1.00034651]"
SQP (mixed);10;7;[0, 1, 2, 6, 7, 8, 9];;;53;236;2,18E+08;"[1.00001423 0.99999436 0.99998934 0.99991272 0.99996266 0.99996779
 0.9999736  1.00009081 1.00007507 1.00034651]"
SQP (mixed);10;10;[0, 1, 2, 3, 4, 5, 6, 7, 8, 9];;;53;77;2,18E+08;"[1.00001423 0.99999436 0.99998934 0.99991272 0.99996266 0.99996779
 0.9999736  1.00009081 1.00007507 1.00034651]"
;;;;;;;;;
;;;;;;;;;
=====;=====;=====;=====;=====;=====;=====;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
